Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167488,KERALA,1957,45 KADUTHURUTHY,1 M. C. ABRAHAM,M,,,INC,22365.0
167489,KERALA,1957,45 KADUTHURUTHY,2 KURIAN KURIAN,M,,,IND,13552.0
167490,KERALA,1957,46 RAMAMANGALAM,1 POULOSE E. P,M,,,INC,20086.0
167491,KERALA,1957,46 RAMAMANGALAM,2 PARAMESWARAN NAIR,M,,,CPI,13588.0
167492,KERALA,1957,46 RAMAMANGALAM,3 NARAYANAN NAMBOORI,M,,,IND,5180.0
167493,KERALA,1957,47 MUVATTUPUZHA,1 K. M. GEORGE,M,,,INC,16820.0
167494,KERALA,1957,47 MUVATTUPUZHA,2 KURUVILLA MATTAI (MATHEW),M,,,CPI,14993.0
167495,KERALA,1957,47 MUVATTUPUZHA,3 BHASKARAN NAIR G,M,,,PSP,2019.0
167496,KERALA,1957,48 DEVICOLAM,1 ROSAMMA PUNNOSE,F,,,CPI,33809.0
167497,KERALA,1957,48 DEVICOLAM,2 GANAPATHY N. (SC),M,,,INC,31887.0
167498,KERALA,1957,48 DEVICOLAM,3 KARUPPAYYA I. (SC),M,,,IND,26576.0
167499,KERALA,1957,48 DEVICOLAM,4 RAMAYYA S. (SC),M,,,INC,24123.0
167500,KERALA,1957,48 DEVICOLAM,5 SARMA S.,M,,,IND,11799.0
167501,KERALA,1957,48 DEVICOLAM,6 THANKAYYA,M,,,IND,8759.0
167502,KERALA,1957,48 DEVICOLAM,7 PACHU PILLAI K.,M,,,RSP,7098.0
167503,KERALA,1957,48 DEVICOLAM,8 RAJARAM S. A. (SC),M,,,RSP,6530.0
167504,KERALA,1957,48 DEVICOLAM,9 BHASKARAN VELU,M,,,IND,6204.0
167505,KERALA,1957,49 THODUPUZHA,1 MATHEW C. A.,M,,,INC,22149.0
167506,KERALA,1957,49 THODUPUZHA,2 NARAYANAN NAIR K.,M,,,CPI,11680.0
167507,KERALA,1957,49 THODUPUZHA,3 DEVASSIA C,M,,,PSP,1252.0
167508,KERALA,1957,50 KARIKODE,1 KUSUMAN JOSEPH,F,,,INC,14669.0
167509,KERALA,1957,50 KARIKODE,2 AUGUSTINE OUSEPH,M,,,IND,12084.0
